time,open,high,low,close
855805500,1071.22,1073.74,1069.54,1073.74
855891900,1076.96,1078.16,1075.1899,1075.29
856151100,1083.79,1083.79,1077.5699,1081.4
856237500,1079.46,1079.46,1068.4301,1068.4301
856323900,1072.48,1075.0699,1068.91,1073.17
856410300,1070.38,1070.38,1063.62,1064.27
856496700,1060.37,1060.37,1049.97,1050.41
856755900,1041.3199,1041.3199,1024.36,1027.13
856842300,1020.94,1029.5699,1020.94,1023.24
856928700,1026.98,1029.8,1023.9,1029.47
857015100,1036.49,1052.79,1036.49,1052.79
857101500,1061.6899,1063.8101,1052.4399,1053.11
857360700,1166.99,1189.55,1166.99,1170.5601
857447100,1167.3199,1167.6899,1160.39,1166.4301
857533500,1208.87,1208.87,1182.54,1187.6801
857619900,1180.61,1182.55,1170.96,1172.9
857965500,1146.78,1146.78,1118.84,1119.96
858051900,1106.4301,1114.1,1094.6899,1095.46
858138300,1115.48,1115.48,1107.1899,1114.08
858224700,1115.35,1115.35,1105.3101,1107.04
858311100,1101.27,1105.5,1100.91,1105.38
858570300,1102.75,1102.75,1096.0699,1097.9301
858656700,1099.72,1101.1,1097.35,1098.0601
858743100,1107.33,1107.39,1095.9,1096.89
858829500,1090.21,1096.59,1090.21,1095.55
858915900,1099.53,1100.04,1097.0601,1099.62
859261500,1101.02,1103.35,1095.01,1100.45
859347900,1104.1899,1104.1899,1100.37,1101.88
859434300,1098.52,1103.54,1095.6,1102.99
859779900,1081.35,1081.35,1032.65,1032.95
859866300,1028.3,1041.2,1016.65,1036.35
859952700,1036.85,1069.85,1036.85,1068.3
860039100,1069.5,1080.35,1068.5,1077
860125500,1078.8,1078.8,1068.45,1072.95
860384700,1073.2,1073.2,1057.25,1059.05
860557500,1061.25,1089.45,1061.1,1088.6
860643900,1086.65,1086.85,1063.6,1070.3
860730300,1067.95,1069.3,1047.3,1067.75
861075900,1065.35,1069.2,1061.4,1062.8
861248700,1063.25,1076.85,1063.25,1075.4
861594300,1077.05,1093.3,1077.05,1092.15
861680700,1092.35,1096.85,1084.9,1087.8
861767100,1087.9,1097.5,1087.2,1094.6
861853500,1094.8,1099.55,1088.45,1091.25
861939900,1091.1,1091.95,1087,1090.65
862199100,1090.15,1094.85,1087.5,1094.15
862285500,1093.3,1095.9,1082.1,1086.35
862371900,1088.55,1113.85,1088.05,1104.65
862544700,1104.25,1104.45,1095.1,1101.8
862803900,1101.85,1101.85,1086.3,1087.7
862890300,1087.15,1090.75,1079.95,1088.05
862976700,1091.65,1106.85,1089.4,1105.1
863063100,1107.15,1126.35,1107.15,1125.5
863149500,1127,1136.2,1122.9,1128.85
863408700,1128.55,1135.45,1125.75,1126.25
863495100,1125.65,1127.9,1120,1122.3
863581500,1126.75,1140.45,1121.85,1139.35
863667900,1142.9,1146.15,1137.7,1139.95
863754300,1139.75,1143,1135.7,1136.5
864013500,1137.1,1144.45,1137.1,1139.65
864099900,1139.65,1144.6,1131.1,1133.95
864186300,1137.5,1140.55,1124.1,1125.4
864272700,1125.6,1126.95,1112.15,1113.85
864359100,1114.1,1114.25,1104.25,1111.7
864618300,1112.95,1113.15,1100.15,1104.65
864704700,1104.8,1105.45,1093.75,1095.15
864791100,1095.05,1101.8,1092.65,1096.45
864877500,1094.7,1104.75,1092.55,1102.95
864963900,1103.65,1116.85,1103.3,1116.15
865223100,1116.65,1123.25,1114.05,1118.4
865309500,1118.95,1123.3,1112.45,1116.9
865395900,1118.7,1131.15,1118.7,1127.15
865482300,1127.65,1140.45,1127.6,1133.3
865568700,1133.5,1133.95,1127.7,1132.35
865827900,1132.9,1136.45,1129.5,1133.3
865914300,1134.7,1140.15,1132.9,1135.55
866000700,1136.75,1162.65,1136.75,1159.95
866087100,1163.45,1173.85,1162.75,1171.95
866173500,1175.3,1185.45,1172.65,1181.5
866432700,1179.55,1186.75,1165.1,1166.05
866519100,1165.15,1172.5,1164.25,1168.9
866605500,1175.45,1200.3,1175.45,1187.5
866691900,1191.45,1193.2,1183.25,1192.05
866778300,1192.15,1197.55,1189.65,1191.65
867037500,1193.1,1195.75,1183.7,1185.5
867123900,1185,1185,1173.05,1175.35
867210300,1164.5,1179.95,1164.2,1171.6
867296700,1170.25,1173.9,1167.5,1169
867383100,1168.5,1171.05,1157.75,1159.4
867642300,1160.4,1169.65,1149,1163.9
867728700,1166.45,1179.85,1166.45,1174.7
867815100,1176.9,1205.05,1176.9,1197.8
867901500,1198.95,1203.7,1189.35,1192.45
867987900,1194.55,1205.9,1188.4,1205.2
868247100,1206.45,1231.25,1204.6,1230.1
868333500,1232.3,1248.45,1226.55,1245.8
868419900,1248.85,1299.95,1248.85,1298.6
868506300,1306.4,1331.15,1306.4,1314.2
868592700,1313.45,1313.45,1289.5,1305.4
868851900,1305.95,1306.5,1269.2,1271
868938300,1271.3,1279.2,1265.05,1266.4
869024700,1269.9,1302.55,1269.9,1278.85
869111100,1280.35,1285.6,1269.35,1284.4
869456700,1278.15,1278.15,1261.65,1268.65
869543100,1265.35,1279.7,1264.55,1275.6
869629500,1282.45,1313.6,1282.2,1313.1
869715900,1315.5,1328.75,1305.4,1309.05
869802300,1308.95,1308.95,1286.1,1291.85
870061500,1293.85,1297.85,1292,1295.6
870147900,1297.4,1301.25,1287.95,1293.85
870234300,1297.75,1315.4,1297.75,1308.85
870320700,1310.15,1326.3,1310.05,1322
870407100,1322.2,1333.9,1322.2,1330.55
870666300,1331.95,1358.05,1331.95,1353.75
870752700,1354.1,1372.5,1354.1,1370.05
870839100,1370.5,1389.2,1370,1384.55
870925500,1384.55,1395.25,1369.15,1373.65
871011900,1373.45,1376.9,1353.65,1360.1
871271100,1360.45,1361.7,1348.25,1359.1
871357500,1359.4,1376.5,1353.1,1356
871443900,1356.35,1361.45,1346.5,1347.85
871530300,1347.3,1350.3,1316.45,1326.1
871875900,1326.8,1327.5,1308.2,1320.15
871962300,1320.35,1325.45,1308.5,1311.85
872048700,1313.25,1329.1,1308,1328.3
872135100,1329.85,1334.25,1306.45,1311.45
872221500,1310.4,1310.4,1291,1293.05
872480700,1293.05,1293.8,1261.9,1287.35
872567100,1287.6,1298.2,1286.55,1290.55
872653500,1291.2,1317.4,1291.05,1305.9
872739900,1306.6,1307.2,1274.45,1275.75
872826300,1276.25,1276.25,1252.7,1255.15
873085500,1254.8,1259.45,1245,1251.45
873171900,1248.7,1264.8,1248.7,1254.2
873258300,1253.6,1274.15,1250.5,1268.45
873344700,1268.1,1268.1,1258.2,1265.8
873431100,1266.05,1280.85,1266.05,1279.9
873690300,1280.65,1301.3,1276.3,1299
873776700,1299.45,1318.05,1299.45,1308.55
873863100,1308.7,1310.05,1291.7,1307.5
873949500,1305.4,1308.85,1299.4,1301.05
874035900,1301,1301,1284.75,1289
874295100,1288.35,1289.7,1278.45,1280.45
874381500,1279.95,1284.05,1272.95,1275.8
874467900,1275.95,1275.95,1265.05,1266.55
874554300,1264.65,1264.65,1237.65,1245.2
874640700,1245.65,1249.35,1239.75,1244.5
874899900,1244.45,1244.45,1225.35,1226.65
874986300,1226.35,1233.7,1220.95,1231.65
875072700,1231.35,1252.55,1231.35,1245.1
875159100,1244.85,1249.6,1243.05,1247.75
875245500,1248.9,1257.3,1248.75,1252.05
875504700,1252.8,1263.75,1252.3,1262.3
875591100,1262,1265.5,1249.8,1261.55
875677500,1262.75,1262.8,1239.75,1255.3
876368700,1250.7,1261.6,1248.05,1260.15
876455100,1259.95,1278.15,1259.95,1276.7
876714300,1275.65,1282.7,1274.5,1276.05
876800700,1276.05,1278.75,1250.75,1254.6
876887100,1251.4,1271.8,1246.85,1269.85
876973500,1270,1291.55,1270,1289.45
877059900,1289.6,1308.45,1289.6,1303.7
877319100,1303.8,1317.15,1302.2,1315.8
877405500,1316,1319.45,1290.75,1293.8
877491900,1294.35,1312.1,1294.35,1304.05
877578300,1305.55,1305.55,1277.55,1284.8
877664700,1284.6,1284.6,1256.9,1270.55
877923900,1269.8,1270.7,1256.6,1258.9
878010300,1259.05,1259.7,1179.7,1181.5
878096700,1181.7,1256.15,1181.5,1253.85
878183100,1254.2,1255.7,1239.7,1246
878528700,1246.25,1247.9,1228.55,1238.15
878615100,1238.7,1243.5,1228.15,1238.3
878701500,1234.45,1239.6,1226.8,1231.6
878787900,1231.65,1231.7,1216.05,1223.45
878874300,1223.75,1230,1220.9,1227
879133500,1227.75,1228,1213.35,1215.05
879219900,1215.7,1223.95,1211.3,1222.3
879306300,1206.65,1209.6,1188.95,1191.5
879392700,1206.3,1206.3,1176.9,1183.85
879738300,1183.15,1183.15,1164.4,1173.5
879824700,1173.4,1175.15,1147.1,1149.75
879911100,1148.4,1148.4,1121.7,1136.1
879997500,1135.9,1149.1,1126.65,1143.55
880083900,1141.1,1157.5,1140.8,1152
880343100,1151.65,1153.6,1127.4,1129.7
880429500,1129.3,1150.5,1122.8,1147.05
880515900,1147.2,1163.9,1144.45,1160.7
880602300,1160.65,1188.8,1159.6,1186.95
880688700,1185.05,1186.85,1151.9,1159.2
880947900,1158.55,1163.6,1140.85,1162.15
881034300,1162.65,1166.3,1154.65,1158.1
881120700,1164.2,1175,1158.05,1167.9
881207100,1167.6,1167.6,1142.95,1146.5
881293500,1146.3,1151.7,1142.2,1143.8
