time,open,high,low,close
953783100,1086.02,1086.02,1086.02,1086.02
953869500,1086.3199,1086.3199,1086.3199,1086.3199
954128700,1071.09,1071.09,1071.09,1071.09
954215100,1071.17,1071.17,1071.17,1071.17
954301500,1070.13,1070.13,1070.13,1070.13
954387900,1101.0601,1101.0601,1101.0601,1101.0601
954474300,1106.83,1106.83,1106.83,1106.83
954733500,1110.14,1110.14,1110.14,1110.14
954819900,1026.65,1026.65,1026.65,1026.65
954906300,1000.84,1000.84,1000.84,1000.84
954992700,989.20001,989.20001,989.20001,989.20001
955079100,1048.75,1048.75,1048.75,1048.75
955338300,1087.71,1087.71,1087.71,1087.71
955424700,1105.1899,1105.1899,1105.1899,1105.1899
955511100,1097.08,1097.08,1097.08,1097.08
955597500,1056.89,1056.89,1056.89,1056.89
955943100,1003.89,1003.89,1003.89,1003.89
956029500,1031.28,1031.28,1031.28,1031.28
956115900,1029.46,1029.46,1029.46,1029.46
956202300,1026.09,1026.09,1026.09,1026.09
956547900,1009.29,1009.29,1009.29,1009.29
956634300,1015.7,1015.7,1015.7,1015.7
956720700,1067.5699,1067.5699,1067.5699,1067.5699
956807100,1050.72,1050.72,1050.72,1050.72
956893500,1056.2,1056.2,1056.2,1056.2
957239100,1021.98,1021.98,1021.98,1021.98
957325500,1020.9,1020.9,1020.9,1020.9
957411900,1030.91,1030.91,1030.91,1030.91
957498300,1040.91,1040.91,1040.91,1040.91
957757500,1031.09,1031.09,1031.09,1031.09
957843900,1032.5,1032.5,1032.5,1032.5
957930300,1027.99,1027.99,1027.99,1027.99
958016700,1012.45,1012.45,1012.45,1012.45
958103100,995.66998,995.66998,995.66998,995.66998
958362300,993.34998,993.34998,993.34998,993.34998
958448700,989.60999,989.60999,989.60999,989.60999
958535100,999.40002,999.40002,999.40002,999.40002
958621500,984.62,984.62,984.62,984.62
958707900,988.26001,988.26001,988.26001,988.26001
958967100,966.01001,966.01001,966.01001,966.01001
959053500,948.47998,948.47998,948.47998,948.47998
959139900,950.96002,950.96002,950.96002,950.96002
959226300,950.96997,950.96997,950.96997,950.96997
959312700,953.85999,953.85999,953.85999,953.85999
959571900,966.83002,966.83002,966.83002,966.83002
959658300,986.64001,986.64001,986.64001,986.64001
959744700,1001.24,1001.24,1001.24,1001.24
959831100,985.92999,985.92999,985.92999,985.92999
959917500,1007.95,1007.95,1007.95,1007.95
960176700,1034.98,1034.98,1034.98,1034.98
960263100,1034.29,1034.29,1034.29,1034.29
960349500,1029.53,1029.53,1029.53,1029.53
960435900,1064.58,1064.58,1064.58,1064.58
