time,open,high,low,close
961731900,1487.85,1499.85,1462.75,1472.2
961991100,1472.15,1472.15,1431.25,1451.65
962077500,1452.8,1467.15,1448.95,1454.3
962163900,1453.7,1474.7,1445.6,1470
962250300,1471.35,1505.75,1471.35,1492.35
962336700,1490.2,1490.65,1462.45,1471.45
962595900,1473.45,1498.7,1473.45,1495.25
962682300,1496.15,1516.8,1494.8,1511.3
962768700,1511.5,1530.9,1511.5,1526.05
962855100,1525.15,1525.15,1504.05,1516.8
962941500,1517,1528.15,1513.4,1517.6
963200700,1518.15,1523.2,1502.7,1509.65
963287100,1510.55,1523.1,1506.15,1518.55
963373500,1518.7,1537.1,1507.95,1533.35
963459900,1535.55,1564.75,1513.65,1522.6
963546300,1522.2,1534.35,1505.9,1509.75
963805500,1509.25,1512.25,1475.15,1479.65
963891900,1479.3,1482.9,1458.6,1463.1
963978300,1464.55,1468.55,1432.85,1435.8
964064700,1434.95,1443.25,1416,1424.2
964151100,1424.9,1435.2,1394.3,1397.25
964410300,1397.05,1397.05,1310.85,1317.75
964496700,1317.35,1363.45,1269.25,1348.9
964583100,1350.8,1371.8,1315.15,1318.25
964669500,1317,1342.75,1291.3,1338.05
964755900,1337.7,1359.4,1327.95,1333.8
965015100,1333.3,1343.65,1317.3,1332.85
965101500,1332.85,1344.5,1322.6,1326.85
965187900,1323.7,1333.85,1312.25,1331.9
965274300,1330.7,1339.4,1319,1321.25
965360700,1320.25,1333.15,1302.65,1318.55
965619900,1319.7,1321.7,1299.9,1310.8
965706300,1312.1,1348.25,1311.15,1345.6
965792700,1345.95,1363.95,1341.05,1344.95
965879100,1345.25,1360.4,1325.15,1328
965965500,1328.15,1328.15,1306.6,1310.75
966224700,1312.25,1321.55,1295.45,1317.9
966397500,1319.35,1354.95,1319.35,1351.45
966483900,1351.5,1363.05,1334.95,1341.4
966570300,1342,1360.65,1339.05,1358.05
966829500,1358.75,1374.5,1358.75,1370.25
966915900,1370.75,1394.9,1370.75,1381.2
967002300,1381.6,1398.9,1376.9,1386.05
967088700,1386.3,1390.45,1374.9,1386.95
967175100,1387.35,1396.1,1377.75,1381.25
967434300,1379.6,1383.45,1368.25,1369.85
967520700,1368.65,1373.55,1360.65,1367.7
967607100,1369.9,1384.85,1369.8,1375.95
967693500,1376.5,1397.3,1375.9,1394.1
968039100,1395.95,1433.15,1395.95,1427.75
968125500,1428.05,1434.65,1420.9,1428.25
968211900,1430.9,1444.45,1421,1435.35
968298300,1434.7,1450.2,1424.35,1439.75
968384700,1440.6,1453.15,1440.6,1450.05
968643900,1449.35,1469,1448.95,1456.35
968730300,1457.1,1470.55,1447.8,1467.65
968816700,1467.65,1482,1452.6,1456.15
968903100,1456.75,1466.65,1437.85,1445.3
968989500,1443.25,1451.05,1411.55,1417.2
969248700,1416.05,1416.05,1352.1,1354.35
969335100,1351.8,1361.7,1295.3,1317
969421500,1317.8,1351.1,1311.1,1342.9
969507900,1341.65,1347.4,1325.75,1329.85
969594300,1329.1,1329.1,1261.2,1266.45
969853500,1268.4,1305.1,1268.4,1292.55
969939900,1292.9,1298.25,1261,1267.9
970026300,1267.45,1299,1249.35,1292.55
970112700,1292.4,1302.75,1260.8,1266.4
970199100,1267.3,1284.15,1264.4,1271.65
970544700,1270.75,1288.15,1254.35,1282
970631100,1281.45,1300.05,1275.8,1297.8
970717500,1296.1,1306.45,1282.5,1284.75
970803900,1284.35,1287.85,1262.65,1285
971063100,1285.05,1286.35,1264.2,1267.3
971149500,1268.7,1272.75,1230.05,1238.95
971235900,1232.85,1234.1,1193.8,1201.9
971322300,1201.3,1214.35,1185.1,1206.25
971408700,1205.7,1205.7,1167.5,1176.75
971667900,1177.85,1228.8,1173.35,1175.45
971754300,1174.3,1174.3,1140.6,1158.05
971840700,1157.05,1157.05,1122.8,1136
971927100,1135.65,1171.5,1108.2,1166.15
